The	O	3	3	3	1
intense	O	3	3	2	1
interest	O	3	3	3	1
aroused	O	3	3	3	1
in	O	1	1	1	3
the	O	3	3	3	1
public	O	2	2	3	1
by	O	2	2	2	2
what	O	3	3	3	1
was	O	1	1	1	2
known	O	1	1	1	2
at	O	1	1	1	3
the	O	2	2	2	2
time	O	2	2	2	2
as	O	1	1	1	3
`	O	1	1	1	1
The	O	2	2	2	1
Styles	LOCATION	3	3	3	2
Case	O	3	3	2	2
'	O	1	3	1	3
has	O	3	3	3	2
now	O	3	3	2	3
somewhat	O	3	3	3	1
subsided	O	3	3	3	1
.	O	1	1	1	1

Nevertheless	O	3	3	3	1
,	O	3	1	3	1
in	O	2	1	1	3
view	O	3	3	3	1
of	O	1	1	2	2
the	O	1	1	1	3
world-wide	O	3	3	3	1
notoriety	O	3	3	3	1
which	O	3	3	2	3
attended	O	3	3	3	1
it	O	1	1	2	2
,	O	1	1	1	1
I	O	1	1	1	3
have	O	1	1	2	2
been	O	2	2	2	2
asked	O	2	3	2	1
,	O	1	3	1	3
both	O	2	2	2	3
by	O	2	3	2	2
my	O	2	1	2	3
friend	O	3	3	2	1
Poirot	PERSON	3	3	3	1
and	O	1	1	2	2
the	O	2	1	2	2
family	O	3	3	3	1
themselves	O	2	3	2	2
,	O	1	1	1	1
to	O	1	1	1	3
write	O	1	2	1	3
an	O	2	2	3	1
account	O	2	2	2	2
of	O	1	1	1	3
the	O	1	1	1	2
whole	O	2	2	2	2
story	O	3	3	3	1
.	O	3	1	3	1

This	O	2	2	2	3
,	O	1	1	1	1
we	O	2	3	2	1
trust	O	3	3	3	1
,	O	1	3	1	3
will	O	3	3	3	1
effectually	O	3	3	3	1
silence	O	3	3	3	1
the	O	1	1	1	3
sensational	O	3	3	3	1
rumours	O	3	3	3	1
which	O	2	2	2	2
still	O	3	3	3	2
persist	O	3	3	3	1
.	O	1	1	1	1

I	O	1	1	1	3
will	O	2	2	2	2
therefore	O	3	3	3	1
briefly	O	3	3	3	2
set	O	2	2	2	2
down	O	2	2	2	1
the	O	1	1	1	2
circumstances	O	3	3	3	1
which	O	2	2	3	2
led	O	2	2	2	2
to	O	2	2	2	2
my	O	2	2	2	2
being	O	3	3	2	1
connected	O	3	3	3	1
with	O	1	2	2	2
the	O	1	1	1	2
affair	O	3	3	3	1
.	O	3	1	3	1

``	O	1	1	1	1
I	O	2	2	2	2
had	O	3	3	3	1
been	O	3	3	3	1
invalided	O	3	3	3	1
home	O	3	3	3	1
from	O	3	3	3	1
the	O	2	2	2	3
Front	O	3	3	3	1
;	O	1	3	1	3
and	O	2	2	2	1
,	O	1	1	1	1
after	O	2	2	3	1
spending	O	3	3	3	1
some	O	2	1	2	2
months	O	3	3	3	1
in	O	1	1	1	2
a	O	1	1	1	2
rather	O	3	3	3	2
depressing	O	3	3	3	1
Convalescent	O	3	3	3	1
Home	O	2	2	2	2
,	O	3	1	3	1
was	O	2	1	2	3
given	O	3	3	2	1
a	O	1	1	1	3
month	O	3	3	3	1
's	O	1	1	1	1
sick	O	3	3	3	1
leave	O	2	3	3	1
.	O	1	3	1	3

''	O	1	1	1	1
Having	O	3	3	3	1
no	O	1	1	1	3
near	O	3	3	3	2
relations	O	3	3	3	1
or	O	2	1	2	2
friends	O	3	2	3	2
,	O	3	1	3	1
I	O	1	1	1	3
was	O	2	2	3	2
trying	O	2	2	2	2
to	O	1	1	2	2
make	O	2	2	3	2
up	O	1	1	1	3
my	O	1	1	2	3
mind	O	2	2	3	2
what	O	2	2	2	2
to	O	2	2	1	3
do	O	2	1	2	2
,	O	1	1	1	1
when	O	2	2	2	2
I	O	2	2	2	2
ran	O	1	1	1	2
across	O	3	3	3	2
John	PERSON	2	2	2	1
Cavendish	PERSON	3	3	3	1
.	O	1	3	1	3

I	O	1	1	1	3
had	O	2	2	2	3
seen	O	3	3	3	1
very	O	1	1	2	3
little	O	3	3	3	1
of	O	2	2	2	3
him	O	2	2	2	2
for	O	1	1	1	3
some	O	2	2	2	2
years	O	2	2	3	1
.	O	1	1	1	1

Indeed	O	3	3	3	1
,	O	3	1	3	1
I	O	1	1	1	3
had	O	3	2	3	3
never	O	3	3	3	2
known	O	3	3	2	1
him	O	2	2	2	2
particularly	O	3	3	3	1
well	O	1	2	1	2
.	O	1	1	1	1

He	O	1	1	1	3
was	O	2	2	2	2
a	O	1	1	1	3
good	O	3	2	3	1
fifteen	O	3	3	3	1
years	O	2	2	2	2
my	O	2	1	2	3
senior	O	3	3	3	1
,	O	1	3	1	3
for	O	2	2	2	1
one	O	1	1	1	3
thing	O	2	2	3	2
,	O	1	1	1	1
though	O	3	3	1	2
he	O	1	1	1	3
hardly	O	2	3	2	1
looked	O	3	3	3	1
his	O	3	3	2	2
forty-five	O	3	3	3	1
years	O	2	2	3	1
.	O	3	1	3	1

As	O	3	3	3	1
a	O	1	1	1	3
boy	O	2	2	2	1
,	O	1	1	1	1
though	O	3	3	3	1
,	O	1	3	1	3
I	O	1	1	1	3
had	O	2	2	2	2
often	O	2	2	3	2
stayed	O	3	2	3	1
at	O	2	2	2	2
Styles	LOCATION	3	3	3	1
,	O	1	1	1	1
his	O	2	1	2	3
mother	O	3	3	3	1
's	O	3	1	3	1
place	O	3	3	3	1
in	O	1	1	2	3
Essex	LOCATION	3	3	3	1
.	O	1	1	1	1

We	O	3	2	3	1
had	O	3	3	3	3
a	O	1	1	1	3
good	O	3	3	2	1
yarn	O	3	2	3	1
about	O	3	3	3	2
old	O	3	2	2	2
times	O	3	3	3	1
,	O	1	3	1	3
and	O	1	1	1	3
it	O	2	2	2	2
ended	O	3	2	3	1
in	O	2	1	2	3
his	O	2	2	2	2
inviting	O	3	3	3	1
me	O	2	1	2	2
down	O	2	2	3	1
to	O	1	1	1	3
Styles	LOCATION	3	3	3	1
to	O	1	2	1	3
spend	O	3	3	3	1
my	O	2	2	2	2
leave	O	3	3	3	2
there	O	2	2	2	1
.	O	1	1	1	1

The	O	2	2	2	3
mater	O	3	3	3	1
will	O	3	3	3	2
be	O	2	2	3	2
delighted	O	3	3	3	1
to	O	1	1	2	2
see	O	2	1	2	2
you	O	2	1	2	2
again	O	3	3	3	1
...	O	3	1	3	1
after	O	1	1	1	1
all	O	1	1	2	3
those	O	3	3	3	1
years	O	2	2	2	1
,	O	1	3	1	3
he	O	1	1	1	3
added	O	3	3	3	1
.	O	1	1	1	1

Your	O	2	2	2	2
mother	O	3	3	3	1
keeps	O	3	3	2	1
well	O	3	3	3	1
?	O	3	1	3	1
I	O	1	1	1	3
asked	O	3	3	3	1
.	O	1	1	1	1

Oh	O	2	1	2	2
,	O	1	3	1	3
yes	O	3	3	3	1
.	O	1	1	1	1

I	O	1	1	1	2
suppose	O	3	3	3	2
you	O	1	1	2	2
know	O	2	2	2	2
that	O	2	2	3	2
she	O	3	2	3	2
has	O	2	1	2	3
married	O	3	3	3	1
again	O	2	2	2	1
?	O	3	1	3	1
I	O	1	1	1	3
am	O	2	2	2	2
afraid	O	3	3	3	1
I	O	1	1	1	3
showed	O	3	3	3	1
my	O	3	2	3	1
surprise	O	2	3	2	2
rather	O	3	3	3	2
plainly	O	3	3	3	1
.	O	3	3	3	1

Mrs.	PERSON	3	3	3	3
Cavendish	PERSON	3	3	3	1
,	O	1	1	1	1
who	O	3	3	2	1
had	O	3	3	2	2
married	O	3	3	3	1
John	PERSON	3	3	3	1
's	O	1	3	1	3
father	O	3	2	3	1
when	O	3	2	2	3
he	O	2	2	1	2
was	O	2	2	2	2
a	O	2	1	1	2
widower	O	3	3	3	1
with	O	3	2	3	2
two	O	1	1	1	2
sons	O	3	3	3	2
,	O	1	1	1	1
had	O	3	3	3	2
been	O	3	3	3	2
a	O	1	1	1	2
handsome	O	3	3	3	1
woman	O	3	3	3	1
of	O	1	2	1	3
middle-age	O	3	3	3	1
as	O	2	2	1	3
I	O	2	1	2	3
remembered	O	3	3	3	1
her	O	2	2	2	2
.	O	3	1	3	1

She	O	2	1	2	2
certainly	O	3	3	3	1
could	O	3	3	3	2
not	O	2	3	2	2
be	O	2	2	2	3
a	O	1	1	1	3
day	O	2	2	2	2
less	O	2	2	2	2
than	O	2	2	2	2
seventy	O	3	3	3	1
now	O	1	1	2	3
.	O	1	1	1	1

I	O	1	1	1	3
recalled	O	3	3	3	1
her	O	1	1	1	3
as	O	2	2	2	2
an	O	1	1	1	3
energetic	O	3	3	3	1
,	O	1	3	1	3
autocratic	O	3	3	3	1
personality	O	3	3	3	1
,	O	1	1	1	1
somewhat	O	3	3	3	1
inclined	O	3	3	3	1
to	O	2	2	2	3
charitable	O	3	3	3	1
and	O	1	1	1	3
social	O	3	3	3	1
notoriety	O	3	3	3	1
,	O	3	1	3	1
with	O	3	3	3	3
a	O	1	2	1	3
fondness	O	3	3	3	1
for	O	2	2	3	2
opening	O	3	3	3	1
bazaars	O	3	3	3	1
and	O	1	1	1	3
playing	O	3	3	3	1
the	O	1	1	1	3
Lady	O	2	2	2	2
Bountiful	O	3	3	3	1
.	O	1	1	1	1

She	O	2	2	3	2
was	O	3	3	3	1
a	O	1	1	1	2
most	O	3	3	3	2
generous	O	3	3	2	1
woman	O	2	2	2	2
,	O	1	3	1	3
and	O	1	1	1	3
possessed	O	3	3	3	1
a	O	1	1	1	3
considerable	O	3	3	3	1
fortune	O	3	3	3	1
of	O	1	1	1	3
her	O	3	2	3	2
own	O	1	1	2	3
.	O	1	1	1	1

Their	O	3	3	3	1
country-place	O	3	3	2	1
,	O	3	1	3	1
Styles	LOCATION	3	3	3	2
Court	LOCATION	2	2	2	2
,	O	1	1	1	1
had	O	1	1	1	3
been	O	2	2	2	2
purchased	O	3	3	3	1
by	O	1	1	1	3
Mr.	PERSON	2	2	3	1
Cavendish	PERSON	3	2	3	1
early	O	3	3	3	1
in	O	1	1	1	3
their	O	2	2	2	1
married	O	3	3	2	2
life	O	1	1	1	3
.	O	1	3	1	3

``	O	1	1	1	1
He	O	3	2	3	1
had	O	2	2	2	2
been	O	2	2	2	1
completely	O	3	3	3	1
under	O	3	3	3	1
his	O	2	2	2	2
wife	O	2	2	2	1
's	O	3	1	3	1
ascendancy	O	3	3	3	1
,	O	1	1	1	1
so	O	2	2	2	2
much	O	2	3	2	2
so	O	2	1	2	2
